,,,,,,,,,
T,cp,h,s,PR,,,,,
1415,1.201,1230.7,8.3781,471.4,,,,,
1420,1.201,1236.7,8.3824,478.4,,,,,
1425,1.202,1242.7,8.3866,485.5,,,,,
1430.,1.202,1248.7,8.3908,492.7,,,,,
1435.,1.203,1254.7,8.3950,499.9,,,,,
1440.,1.203,1260.7,8.3992,507.3,,,,,
1445.,1.204,1266.8,8.4034,514.7,,,,,
1450.,1.205,1272.8,8.4075,522.2,,,,,
1455.,1.205,1278.8,8.4117,529.8,,,,,
1460.,1.206,1284.8,8.4158,537.5,,,,,
1465.,1.206,1290.9,8.4199,545.3,,,,,
1470.,1.207,1296.9,8.4240,553.1,,,,,
1475.,1.207,1302.9,8.4281,561.1,,,,,
1480.,1.208,1309.0,8.4322,569.1,,,,,
1485.,1.208,1315.0,8.4363,577.2,,,,,
1490.,1.209,1321,8.4404,585.5,,,,,
1495.,1.210,1327.1,8.4444,593.8,,,,,
1500.,1.210,1333.1,8.4485,602.2,,,,,
1505.,1.211,1339.2,8.4525,610.7,,,,,
1510.,1.211,1345.3,8.4565,619.3,,,,,
1515.,1.212,1351.3,8.4605,628.0,,,,,
1520.,1.212,1357.4,8.4645,636.8,,,,,
1525.,1.213,1363.4,8.4685,645.7,,,,,
1530.,1.213,1369.5,8.4724,654.7,,,,,
1535.,1.214,1375.6,8.4764,663.8,,,,,
1540.,1.214,1381.6,8.4804,673.0,,,,,
1545.,1.215,1387.7,8.4843,682.3,,,,,
1550.,1.215,1393.8,8.4882,691.7,,,,,
1555.,1.216,1399.9,8.4921,701.2,,,,,
1560.,1.216,1405.9,8.4960,710.8,,,,,
1565.,1.217,1412.0,8.4999,720.5,,,,,
1570.,1.217,1418.1,8.5038,730.3,,,,,
1575.,1.218,1424.2,8.5077,740.2,,,,,
1580.,1.218,1430.3,8.5115,750.2,,,,,
1585.,1.219,1436.4,8.5154,760.3,,,,,
1590.,1.219,1442.5,8.5192,770.6,,,,,
1595.,1.220,1448.6,8.5231,780.9,,,,,
1600.,1.220,1454.7,8.5269,791.4,,,,,
1605.,1.221,1460.8,8.5307,801.9,,,,,
1610.,1.221,1466.9,8.5345,812.6,,,,,
1615.,1.222,1473.0,8.5383,823.4,,,,,
1620.,1.222,1479.1,8.5420,834.3,,,,,
1625.,1.223,1485.2,8.5458,845.3,,,,,
1630.,1.223,1491.3,8.5496,856.5,,,,,
1635.,1.223,1497.4,8.5533,867.7,,,,,
1640.,1.224,1503.5,8.5571,879.1,,,,,
1645.,1.224,1509.7,8.5608,890.6,,,,,
1650.,1.225,1515.8,8.5645,902.2,,,,,
1655.,1.225,1521.9,8.5682,913.9,,,,,
1660.,1.226,1528.0,8.5719,925.7,,,,,
1665.,1.226,1534.2,8.5756,937.7,,,,,
1670.,1.227,1540.3,8.5793,949.8,,,,,
1675.,1.227,1546.4,8.5829,962.0,,,,,
1680.,1.228,1552.6,8.5866,974.3,,,,,
1685.,1.228,1558.7,8.5902,986.8,,,,,
1690.,1.228,1564.9,8.5939,999.4,,,,,
1695.,1.229,1571,8.5975,1012.1,,,,,
1700.,1.229,1577.1,8.6011,1024.9,,,,,
1705.,1.230,1583.3,8.6047,1037.9,,,,,
1710.,1.230,1589.4,8.6083,1051.0,,,,,
1715.,1.231,1595.6,8.6119,1064.2,,,,,
1720.,1.231,1601.8,8.6155,1077.6,,,,,
1725.,1.231,1607.9,8.6191,1091.1,,,,,
1730.,1.232,1614.1,8.6227,1104.7,,,,,
1735.,1.232,1620.2,8.6262,1118.5,,,,,
1740.,1.233,1626.4,8.6298,1132.4,,,,,
1745.,1.233,1632.6,8.6333,1146.4,,,,,
1750.,1.234,1638.7,8.6368,1160.6,,,,,
1755.,1.234,1644.9,8.6403,1174.9,,,,,
1760.,1.234,1651.1,8.6439,1189.4,,,,,
1765.,1.235,1657.2,8.6474,1204.0,,,,,
1770.,1.235,1663.4,8.6509,1218.7,,,,,
1775.,1.236,1669.6,8.6543,1233.6,,,,,
1780.,1.236,1675.8,8.6578,1248.6,,,,,
1785.,1.236,1681.9,8.6613,1263.8,,,,,
1790.,1.237,1688.1,8.6647,1279.1,,,,,
1795.,1.237,1694.3,8.6682,1294.6,,,,,
1800.,1.238,1700.5,8.6716,1310.2,,,,,
1805.,1.238,1706.7,8.6751,1326.0,,,,,
1810.,1.238,1712.9,8.6785,1341.9,,,,,
1815.,1.239,1719.1,8.6819,1358.0,,,,,
1820.,1.239,1725.3,8.6853,1374.2,,,,,
1825.,1.239,1731.5,8.6887,1390.5,,,,,
1830.,1.240,1737.7,8.6921,1407.1,,,,,
1835.,1.240,1743.9,8.6955,1423.7,,,,,
1840.,1.241,1750.1,8.6989,1440.6,,,,,
1845.,1.241,1756.3,8.7022,1457.6,,,,,
1850.,1.241,1762.5,8.7056,1474.7,,,,,
1855.,1.242,1768.7,8.7089,1492.1,,,,,
1860.,1.242,1774.9,8.7123,1509.5,,,,,
1865.,1.242,1781.1,8.7156,1527.2,,,,,
1870.,1.243,1787.3,8.7189,1545.0,,,,,
1875.,1.243,1793.5,8.7223,1562.9,,,,,
1880.,1.244,1799.7,8.7256,1581.1,,,,,
1885.,1.244,1806.0,8.7289,1599.4,,,,,
1890.,1.244,1812.2,8.7322,1617.8,,,,,
1895.,1.245,1818.4,8.7355,1636.5,,,,,
1900.,1.245,1824.6,8.7387,1655.3,,,,,
1905.,1.245,1830.9,8.7420,1674.2,,,,,
1910.,1.246,1837.1,8.7453,1693.4,,,,,
1915.,1.246,1843.3,8.7485,1712.7,,,,,
1920.,1.246,1849.5,8.7518,1732.2,,,,,
1925.,1.247,1855.8,8.7550,1751.9,,,,,
1930.,1.247,1862.0,8.7583,1771.7,,,,,
1935.,1.247,1868.3,8.7615,1791.7,,,,,
1940.,1.248,1874.5,8.7647,1811.9,,,,,
1945.,1.248,1880.7,8.7679,1832.3,,,,,
1950.,1.248,1887.0,8.7711,1852.9,,,,,
1955.,1.249,1893.2,8.7743,1873.7,,,,,
1960.,1.249,1899.5,8.7775,1894.6,,,,,
1965.,1.249,1905.7,8.7807,1915.7,,,,,
1970.,1.250,1912.0,8.7839,1937.0,,,,,
1975.,1.250,1918.2,8.7870,1958.5,,,,,
1980.,1.250,1924.5,8.7902,1980.2,,,,,
1985.,1.251,1930.7,8.7934,2002.1,,,,,
1990.,1.251,1937.0,8.7965,2024.1,,,,,
1995.,1.251,1943.2,8.7996,2046.4,,,,,
2000.,1.252,1949.5,8.8028,2068.8,,,,,
2005.,1.252,1955.7,8.8059,2091.5,,,,,
2010.,1.252,1962.0,8.8090,2114.3,,,,,
2015.,1.253,1968.3,8.8121,2137.4,,,,,
2020.,1.253,1974.5,8.8152,2160.6,,,,,
2025.,1.253,1980.8,8.8183,2184.1,,,,,
2030.,1.254,1987.1,8.8214,2207.7,,,,,
2035.,1.254,1993.3,8.8245,2231.5,,,,,
2040.,1.254,1999.6,8.8276,2255.6,,,,,
2045.,1.255,2005.9,8.8307,2279.8,,,,,
2050.,1.255,2012.1,8.8337,2304.3,,,,,
2055.,1.255,2018.4,8.8368,2329.0,,,,,
2060.,1.255,2024.7,8.8398,2353.9,,,,,
2065.,1.256,2031.0,8.8429,2378.9,,,,,
2070.,1.256,2037.2,8.8459,2404.2,,,,,
2075.,1.256,2043.5,8.8489,2429.8,,,,,
2080.,1.257,2049.8,8.8520,2455.5,,,,,
2085.,1.257,2056.1,8.8550,2481.4,,,,,
2090.,1.257,2062.4,8.8580,2507.6,,,,,
2095.,1.257,2068.7,8.8610,2534.0,,,,,
2100.,1.258,2075.0,8.8640,2560.6,,,,,
2105.,1.258,2081.2,8.8670,2587.4,,,,,
2110.,1.258,2087.5,8.8700,2614.4,,,,,
2115.,1.259,2093.8,8.8730,2641.7,,,,,
